Text	French	Wolof	Sereer	English	Arabic	Emoji	Pulaar	Other	Notes
'J''ai la chaire de poule vraiment. C''est vraiment beau. Thiossane no sérére à fella.'	2		1						
'XXXX XXXX J''aime les Serere n''empêche may sen bour nakk'	1	1							
Kèkè fêla amy kamboul À fèla			2						
XXXXBonne journée la famille et bon debut de semaine 	2								
'J''aime bien le Thierè'	2	1							thiere
XXX c le sathie fo sis ou c le sis fo sathie a fela de			2						
'XXXX(pulaar) je ne connais pas cette nourriture c m''a première fois d''entendre'	2								
XXXX dis moi tu n es pas donc bonne sérère han les sérères en raffolent	2								
'Ma mère est sénégalaise serere de Joël fadiout j''ai grandi la bas c''est le Thierè que je connais et je m''en passe pas.'	2	1							
Khana Ndiaye Guen sante		2							ngeen sant
Ta fosisollé			2						
'gspr que fafaye réféméne couscous + lait de vache frais j''adore'	2		1						fayfay refee mene
Diouf bii		2							
'Le mew c''est pour les PEULH'	2	1							
Niowa thiossane nu Sérére! C beau la culture Sérére	1		1						
Belle voix qui me rappelle Sakou Thioro Sarr	2								
Qui peut m’envoyer cette belle vidéo XXXX Qui a cette vidéo 	2								
'Thiossane ! Fier D''être Sérére !!'	2	1	1						thiossane
Billay thiossane mo nekh		2							
A fela trop way			2						
Vraiment formidable typiquement folklore serere j’adore 	2								
J’adore la culture sérére 	2								
Trés belle prestation. J,ai beaucoup aimé mes cousines séréres	2								
Bourou diolas yii vive! la paix diokogniall	1	1	1						tie
XXXX foko teck diola Moy bourou serer		2							
'Oooh belle prestation !! Et j''en suis fière d''être'	2								
Fière d’être sérerre 	2								
'J''adore les sérère'	2								
Ces magnifiques	2								
machallah Nekhna		2							machallah
Machalla fela trop			2						machallah
'Fière d''être sérère'	2								
Love my mother,s culture happy to be Serere				2					
À conserver	2								
'J''adore ma culture la meilleure au monde'	2								
'C''est vraiment excellent ! Que du beau !'	2								
'XXXX au mariage de mon petit frère on s''est défoulés entre les danses sérère et cap-verdien. C''était Top'	2								
XXXX non aye féthieu you amoul féneu 		2							
Oh machala a féla lol way. Ciossane serere rek		1	2					1	oh
Fière d’être sérere	2								
'Hana serres yi dagno lek 3panes théière ak 8panes ngourbane s''en bour moy wakh yen'		2							
XXXX no sané	2								
Kéké féle way			2						
XXXX souya gue meuné		2							
XXXX mene ak yow		2							
'Vraiment ces important mais c''est ou sa'	2								
'S''enraciner avant ouverture Oh kinn kaa fonkkaa thiossanoum'	1		2						
'Fier d''être sérère'	2								
Nekhna		2							
XXXX loj ndkh								2	
'C''est vraiment magnifique'	2								
'Que c''est beau'	2								
Merci	1	1	1						
SERERE MA FIERTÉ	2								
'XXX XXXX t''a fierté'	2								
XXXX balnala dôme		2							
'Elles sont d''où?'	2								
Daffa lëer bro.		2		1					bro
'Fier d''être sérère'	2								
Afela trop			2						
Wawaw		2							
a fellla			2						
'j''ai besoin leur numéro pour les inviter au village svp'	2								
Afelaah mashallah, réfo sérère félou			2						mashallah
'Machallah fiére d''être sérére'	2								
'A fela torop fière d''être serere'	1		1						
XXXX merci	1	1	1						merci
A fella tropeeeee fière d être serere	2		1						
Super cette troupe	2								
XXXX Mais oui Directeur, je suis fortement soulagé	2								
'Fière d''être serere a fela way'	1		1						tie
Comment faire pour les contacter	2								
Formidable très riche 	2								
Très efficace	2								
'Hum j''aime bien'	2								
XXXX yawitam denthial sa ngourbane yi way usine bi defar dafa teudj merci man de sourna		2							ngourbane
Mouk		1	1						mouk
Iyyo a fellah			2						
Lole sakh. À fela lole waye thigueness 			2						lole waye
Namounaku trop		2							
Machalla		1	1		1				
Wawaw vraix médicament	2	1							
'J''ai l''eau à la bouche'	2								
Guorbane			2						
Nguourbane			2						
Ndéress fa rogue			2						
Ayway jokandial korokhé barké fapess ngourbann fakha pelakh			2						pelakh
'J''adore ce plat serere très riche et efficace. '	2								
XXXX come, on mange	2			1					
'XXXX c''est pour les pauvres ou femmes enceintes ça Mdr'	2								
XXXX vraiment il nous ont tous volé même la danse	2								
'XXXX 6 et 7 diolas et serere c''est les deux sclvg'	2								
XXXX ah bon!	1	1	1						
'XXXX la différence entre diola et sérére n''est pas aussi grande. Nous avons quasiment la même culture . Après avoir séjourné pendant 15 ans dans le fief des séréres je sais de quoi je parle. J''ai aimé et adoré leur façon de faire car parfois ça me fait vivre la culture diola qui me manquait énormément.'	2								
Aguéne et Diamboge sont revelatrices de ça M. coly.diola serere sont des paires.	2								
Papa Coumba Ndoffene Faye tout à fait doyen 	2								
'XXXX fière d''être bourou sérère mais je vous aime bcou'	2	1							bourou serere
'Pendant les cérémonies les serres s ''habillent comme ça'	2								
'Diola et Séréres ont presque les mêmes culture et coutume pourquoi vouloir dire qu''on vous avez piratés alors qu''on a les mêmes ancêtres Aguène et Diambogne'	2								
'XXXX no blm si 2 jumelles s reconnaissent par l''appoutrement, idem pour leurs enfants'	2								
	121	44	47	4	1	0	0	3	0
Ibrahima Coly vous avez tout résumé c’est ça en fait									
wiii les séréres									
Nofi .barna la photo.									
wiwww les séréres									
Ageune et diambongne bien sûr...									
Mais tu rêve mon grand ou bien tu ne maîtrise la vraie histoire									
Thiosan ne mossa									
Campement YOLO pour vos visite dans le Sine Saloum GOOGLE.COM CAMPEMENT YOLO - Google Search									
Bonne et heureuse année a vous tous !	Dewenaty je vous love								
Merci bonne annee a vous tous Marie Hélène Morel									
Je partage									
'Ah safari l''usine de coton a main ns qui ont vécu avec nos grand mère'									
									
Ibrahima Coly vous avez tout résumé c’est ça en fait									
