Text	French	Wolof	Sereer	English	Arabic	Emoji	Pulaar	Other	Notes
'OUSMANE SONKO ET LE SEXE: Une longue histoire d''amour.'	2								
Tay guén nopalou louguén di wakh rék si mom nite yi diko geneu beug		2							
XXXX merci	1	1	1						merci
Il est un don de Dieu , il faut l accepter	2								
'Le pays a choisi Sonko. Racontez tout, c''est peine perdue.'	2								
'XXXX non non c''est pas vrai'	2								
XXXX tu as choisi sonko mais pas le pays	2								
Le pays a choisi macky sall	2								
KOI NDEYSAN ADJI SARR DAL SON SEUL DEFAUT BADOLA LA KESSE	1	2							son seul defaut
Wallahi di nguenn sonn! Continuez à nous balancer des histoires comme celle-ci et on continuera de l’aimer de plus en plus	2	1							
'En tout cas les sénégalais doivent se réveiller.nous n''avons pas besoin d''un violeur'	2								
XXXX est ce que tu sais ce que nous avons?	2								
'Nous n''avons pas besoin ces genre de publication dans notre groupe "sérrer et fiers de l''être"nous ne somme pas de politichiens s''il vous plais parlons sérrérs et arrêtons ces gens chose inutile'	2								
Doul rek		2							
'C''EST PAS VRAI ,INVENTEUR QUE TU ES .'	2								
'Tu n''es pas serrer car un vrai serrer ne ment pas . Tu es un'	2								
'Vous déroutez l''objectif du groupe ... Arrêtez'	2								
'On s''en bat les couilles'	2								
'C''est un violeur'	2								
Tall bou yalla tall sanii sa mate rek mogen vive sonko rek incllah		2							
Cest pas le but de ce groupe nous sommes des sereres nous voulons connaître notre culture parlons de la culture serére point	2								
'Le Sénégal c est n''ai pas un violeur qui le dirige'	2								
'ARRETÉ SA C''EST PATATIQUE LE BUT DE SE GROUPE C''EST CONNAITRE NOTRE CULTURE OK PAS DE DIRE DE MAL A QUELQU''UN QUE TU NE CONNAIT PAS OK'	2								
O koor nangué maba			2						
Serrere Mossoul bayi bookam limoukhamone moy diapalé mbokam thidiafédiafé nga diapaléko t gni wax thi domou diambour yi nguéne bayiko bayi yone mou def liguéyam je suis serrere100	1	2							
Ndioko wéno groupe lé nous mbassaname mais fate i noumtokh ma faack sérère layogué ka kholérna andite âne khaa thiakhane kha réf ou djiko oume 1yar ba né o béme yyallane 2ngor bâ né o béme ngore 3fagna yafél bâ né o bém fagnane 4diab thiallél bâ né o bém diab 5 a fakh bâ né o bém dimlé 6 a diab thialél ba gnowta kéta khokhaa léwouna bâ né ine khookhane a guima roog bâ layayé roog fa hamade o toulér wémbi sérère ka layé lab lane na modia lab o weel fate i laale pakh mi thiérér khapoumo gnowa bo kili mé asnakh khack			2						mais
O SERERE PIIR NEE ROKAA NO KHA THIAKHAAN			2						
'Les mensonges et les calomnies ne peuvent jamais changer la couleur de la peau d''un homme. SONKO restera adulé par les sénégalaises et sénégalais'	2								
Jeune homme cette histoire ne nous interesse pas et elle ne nous sert pas grand-chose	2								
'Il est temps que les administrateurs de ce groupe remettent de l''ordre.Si je ne me trompe l''objectif dans "sérère et fier de l''être" c''est de promouvoir notre identité culturel. Celui qui veut faire de la politique n''a qu''a le faire ailleurs. Ces dangereux j''ai lu les contributions des uns et des autres sur post parlant de Sonko et j''ai remarqué que vous vous êtes entrain de vous insulter Alors SVP stop'	2								
En bas la calomnie occupons de nos oignons	2								
'Bâtards + batraciens = batrading ? Il y''en à gogo dans ce pays et qui ont occupé de haute fonction. Pense à toi et ton alentours avant de denuder quelqu''un.'	2								
'L''espoir du pays'	2								
Dites tout sur lui on l aime point	2								
Le Fatick du Futur, une réalité qui prend davantage forme chaque jour.	2								
'Bougnou yakaré maky ak matar ba fatick dou meussa devolopé 9 ans au pouvoir et il ne peut même pas achevée ses chantiers sous l''ère de wade'	2	1							
'Vous encore vous ne découragerez jamais,le peuple n''a plus confiance en vous,même la jeunesse de fatick n''a plus le temps d''écouter ses politiciens professionnels qui ne font que mentir et détourné les deniers publics.'	2								
Du côté de nos patrimoines histoire mam mindiss ainsi que la commune de Diakhao qui est la capitale du sine ne ressent pas le leadership de ce monsieur Ba.Diakhao qui lui a tout donné, ne voit même pas que l un de ses fils est le maire de la région.	2								
'Matar est moin considéré,un jour j''ai assisté à un meeting mais même les populations avaient plus de considération sur un monsieur que je ne connais pas du nom de souka ndella.'	2								mais
