Text	French	Wolof	English	Arabic	Emoji	Sereer	Pulaar	Other	Comments
Touba : Saer Dieng fait de graves révélations sur la gestion de Safinatul Aman (Senego Tv) Saer Dieng confirme sur Senego Tv, les rumeurs sur sa démission de Safinatul Aman, la police religieuse de la ville sainte de Touba. Le désormais ex-coordonnateur décrie la gestion de Serigne Modou Lô Ngabou, qui est la personne morale de Safinatul Aman. Pour justifier sa démission, Saer Dieng ...	2								
Segne modou lo ngabou c un trafiquant de personalite lou yahou ci yonou mouride moko yahe diakhasé yone wi nieupe mai naniou deme rek lici kanal rawoule geute yohou dina djipe founiouko fogoule	1	2							c un trafiquant
'UCAD: Bataille rangée entre étudiants du mouvement Kékendo( Casamançais) et ceux du mouvement Ndefleng( Serere): Plusieurs blessés graves, la police réquisitionnée pour entrer dans le campus. Ce qui se passe actuellement à l’université Cheikh Anta Diop de Dakar est plus que dangereux. En effet, selon nos informations , une bataille rangée a éclaté durant la soirée entre les étudiants du mouvement Kékendo (L''Association des étudiants pour le développement de la Casamance (AEDC) communément appelée "Kekendo") et ceux du mouvement Ndefleng ( Association culturelle des Sérères ). Notre source  de nous souffler que des blessés graves à l’arme blanche sont notés et la situation dégénère de minute en minute. Pour éviter que le pire ne se produise, notre source nous a aussi indiqué que le recteur de l’Ucad a autorisé la Police à entrer dans le campus afin de régler la situation grosse de danger. La police d''ailleurs s’apprête à s’introduire dans l’enceinte de l’Université Cheikh Anta Diop pour rétablir l''ordre.'	2								
'Des journalistes qui n''ont aucun professionnalisme en balançant des informations destructrices. Peu importe une minorité de diolas et une minorité de sereres ne doivent pas diviser ces deux ethnies qui s''aiment depuis belle lurette. Le peuple sénégalais'	2								
Madiambal Diagne, Malick Sall. Felix Diom... voici votre oeuvre	2								
À cause des discours séparatistes et ethenicistes de ces imbéciles de soit disant leader politique Voilà là où nous en sommes!	2								
XXXX pense que quand il crée une situation dangereuse il peut sortie lui-même il se trompe lourdement	2								
'nos hommes politiques sonko Macky chacun montre son appartenance ethnique et religieux sonko dit je suis un fils de la Casamance je suis diola à la télé Macky Sall à la télé je suis peulh Matam c''est mon territoire dans une république ce genre de discours doit être filtré c''est très dangereux pour la paix du pays les étudiants suivis le pas des politiciens nos médias doivent suivre leurs collègues américains on coupe le signal rapidement pour un discours d''appel à la résistance à la manifestation un discours ethnique d''appartenance religieux'	2								
XXXX kholal yé katou fitneu bi mom ta vu là où c écrit diola et peulh ?? Ou k c à cause de sonko et Macky ?? Yaw mi yay seuytanné bi	2	1							
deug bi heure bouy yakhou si université lay diouguei parsk ay. Bandit rek niofa nek legui		2							heure
XXXX bien dit ay pa ak mère nio fa nèk diangouniou ay politiciens laniou	1	2							
XXXX sawaay sois cohérent dans tes propos. On connaît ceux qui revendiquent leur appartenance à untel etc	2								
XXXX pourquoi peul ici	2								
XXXX nafek nga rek		2							
'Université virtuelle du Sénégal la Solution à tous ces problématiques. Que l''état investisse tous ses ressources dans cette Université, c''est aussi. Zéro bagarre, 90% étude, 5% d''entrepreneuriat, 5% de frivolité'	2								
'L''unique responsable l''Etat Problème ethnique mo tall deukk yeupp'	1	2							probleme ethnique Wolof
Université former toul ay intellectuelle pathétique !	1	2							universtite former toul pathetique
