Text	French	Wolof	English	Arabic	Emoji	Sereer	Pulaar	Other	Comments
'Feuz Galsen clashe sévèrement Diary Sow : "nous aussi on t’emmer…" (VIDÉO)Feuz Galsen Clashe Sévèrement Diary Sow : "nous Aussi On T’emmer…" | buzzsenegal.combuzzsenegal.comFeuz Galsen Clashe Sévèrement Diary Sow : "nous Aussi On T’emmer…" | buzzsenegal.comFeuz Galsen Clashe Sévèrement Diary Sow : "nous Aussi On T’emmer…"  Le site de toute l''information people du Sénégal | buzzsenegal.com'	2	0	0	0	0	0	0	0	
'Nous au sénégal il y''a le massela qui n''est rien d''autre qu''une hypocrisie qui nous impose a se voiler la face mais la réalité objective c''est que diary sow limou def daco napp reck. les néddoko badoume à quelques exceptions j''insiste sur ce mot exceptions (il y''a forcement des exeptions) goor nda kheuye niou guontou khamounioko, nappou nioko, donouwoujouko, ils sont fourbes, perfides et sournois. Malheusement au sénégal ce problème est un tabou, il y''a un chape de plombe une sorte de terreur morale sur qui conque essaie d''aborder ce sujet. Je l''ai vérifié avec mon commentaire sur l''article de thierno boccom. Casser un thermométre n''a jamais baisser une température, si on veut vivre dans la paix, la fraternité et le respect mutuel au sénégal ce qui mon souhait, il faut qu''on accepte d''abordés les problémes éthniques de maniére objectIves et lucides. Cette fois kouma sagua ma fayou guenoléne fé rew kenn.''‏‎GOX YU Avec NDIACK LAKH #GoxYuBess #JeunesMaires #Locales2022 BESS Mermoz Sacré Cœur Babaobab Amitié 3- Karack‎‏''‏''‏‎NDIACK LAKH CANDIDAT À LA COMMUNE DE MERMOZ SACRÉ-CCEU GOX YU ልል BESS LA COALITION DES JEUNES MAIRES ET DES NOUVEAUX ACTEURS POLITIQUES‎‏''‏‏''‏ولدل BESS ェ MERERRE ￥ LANH IISSK 4 COMMUNE MERMOZ- SACRÉ COEUR NOUS vOUs INVITONSÀ REJOINDRE MASSIVEMENT DYNAMIQUE, POUR COMMUNE COMPÉTITIVE, ATTRACTIVE ET SOLIDAIRE z NDIACK NDIACKLAH LAKH 2022 YAKOMOOM YAKO DEEG NANIOU LÉNE PARCE QUE ''ACTION LOCALE NE SE CONÇOIT PAS SANS ENGAGEMENT COLLECTIF‏''‏‏''‏‎Je suis ndiack lakh‎‏''‏''‏‎GOX YU BESS AND TABAX GOX YU BESS! Favoriser le renouveau de la vie politique à travers l''engagement des jeunes et de nouveaux acteurs dans les GOX GOX YU BESS -POUR LE RENOUVEAU‎‏''‏'	2	1	0	0	0	0	0	0	
Réponse inutile.	2	0	0	0	0	0	0	0	
Bravo Feuz	2	0	0	0	0	0	0	0	
'Arrêtez de la donner de l''importance elle veut se faire un nom derrière les sénégalais et sa marche... faites même plus attention à ces sorties oublier la...'	2	0	0	0	0	0	0	0	
'N''importe quoi !!! Je préfère la folie utile de Diary que tes conneries insipides'	2	0	0	0	0	0	0	0	
Presi Macky  néna len 0:00 / 0:24	0	2	0	0	0	0	0	0	
XXXX demal nga tog. Tu ne fais plus peur !	2	1	0	0	0	0	0	0	
Président Macky yaw yalla nala Yalla sopi c vraiment dommage	1	2	0	0	0	0	0	0	
Ndeysane 😰😰 0:00 / 0:52	0	2	0	0	1	0	0	0	
Màa Fall Mbodji Sau Kana deugue rekk layy wakh	0	2	0	0	0	0	0	0	
Les Sénégalais après avoir regardé la vidéo. Macky ngané koy titeul nonou🤔🤔🤔	2	1	0	0	1	0	0	0	
Dangua thiouné rek ibou, mais dell continuer rek	1	2	0	0	0	0	0	0	mais… continuer
Pitoyable	2	0	0	0	0	0	0	0	
'Wa mome il dirige le Sénégal ? Ou l''Apr 😖😥'	2	1	0	0	1	0	0	0	Wa mome il dirige…
'XXXX excellente question !Macky à toujours été le président de l''APR et non du Sénégal.'	2	0	0	0	0	0	0	0	
XXXX moma diakhal	0	2	0	0	0	0	0	0	
XXXX bien sûr il est dirigé sénégal il as le droit d parle fouko neex	2	1	0	0	0	0	0	0	
'En tout cas fofoula amoul bayii🤣🤣🤣🤣’ <sticker> ''‏‎KESACKER CAHLL IVANOVIC 2 Macky Dias Sonko f SONKO TV Officiel SONKO TV Officie‎‏''‏‏'	1	2	0	0	1	0	0	0	more Wolof by morphological breakdown
Mbaye pekh macky <sticker>	0	2	0	0	0	0	0	0	
'XXXX no c''est le premier ministre de la France 😍😍'	2	0	0	0	1	0	0	0	
XXXX moma diakhal تم تحديد "الأكثر ملاءمة"، لذا قد تكون بعض الردود تمت فلترتها.	0	2	0	0	0	0	0	0	
Méconnaissable 😫🤭	2	0	0	0	2	0	0	0	
Dawal saydina ousman nagui ñiaw de	0	2	0	0	0	0	0	0	
Dagay doul rk	0	2	0	0	0	0	0	0	
nous avons un tout petit president.le peuple senegalais ne merite pas ce monsieur rancunier	2	0	0	0	0	0	0	0	
Vraiment gnongui sogua ame prési bou niak bopou il vient de le confirmer	1	2	0	0	0	0	0	0	
Parfois je me demande si le Sénégal a un président président bouy dagasanté fii rek lako guissé c vraiment dommage	2	1	0	0	0	0	0	0	Wolof embedded
Respectons gayi notre président Ousmane sonko quand il parle	2	1	0	0	0	0	0	0	gay yi embedded
Abdoulaye wade avait tellement raison.....	2	0	0	0	0	0	0	0	
XXXX Bilaye wakhatiko	0	2	0	0	0	0	0	0	
Ndeyssan le pouvoir que les textes t’ont conferés tu l’a mais l’amour le respect du peuple tu ne l’a point.Et pour finir le tigre ne proclame pas sa tigritude	2	1	0	0	0	0	0	0	ndeyssan
