Tweet	French	Wolof	English	Arabic	Emoji	Sereer	Pulaar	Other	
ทุกคนคะอ่านที่เราชี้แจงด้านบน และทิ้งเลขบชให้เราทางเดมได้เลยนะคะ @XXXX  @XXXX @XXXX https://t.co/AMliFNuEny								2	
@XXXX เลื่อนเรามา 5 รอบแล้วค่ะ โครตเบื่อค่ะคุณหนุน อีกคนหายไปเลยแต่ตามล่าหัวแน่นอน เซ็งงค่ะแง								2	
รบกวนทุกคนที่ผ่อนเสื้อแบม 13 คน ทิ้งเลขบชให้เราทางเดมเลยนะคะ คืนนี้เราโอนคืนครบทุกคนค่ะ   *ยืนยันคำเดิมถ้าจี้นางส่ง… https://t.co/6bTOmSjQNL								2	
@XXXX Nice video			2						
Yayou bayam 🥰❤️ https://t.co/OEQRPZP69M		1			1				
#NowPlaying Matar Laye DIOP - Seydina Limamou https://t.co/BgyzK9adct									
@XXXX Ça va faire beaucoup de bébé dans la S3🤣	2				1				
Les retrouvailles de Paris: https://t.co/q3d5aKOTak #Afrique	2								
@XXXX @XXXX @X									
en mode insomnie	2								
@XXXX Senegal🇸🇳♥️💪🏾⚽️	1	1	1		2				
'Découvrez une portion de L''Histoire de l''Humanité(22.326 av. J.C.) et Les Enjeux actuels de la Conscience humaine a… https://t.co/QFba6lpnKw'	2								
https://t.co/4D925phdvH									
'@XXXX Nous sommes tous tellement triste d''entendre ces milliers de temoignages depuis 2011. Nous voulons la p… https://t.co/Daj0xZmirb'	2								
Jefe @ninhosdt								2	
'Ne cesser de se disputer parce que l''on refuse de se rendre compte qu''on aime celui qu''on considère comme un simple pote...'	2								
@XXXX Il y’a pas dani Alves	2								
@XXXX @XXXX @XXXX @XXXX @XXXX @XXXX  @XXXX @XXXX https://t.co/bKEYnSlfno									
@XXXX S’ils font comme Jumia; ils risquent de perdre. C’est une entreprise qui est entrain d’émerger aussi.	2								
@XXXX @XXXX 🥰🥰🥰					2				
@XXXX @XXXX 🙏🏿🙏🏿					2				
'@XXXX Damako waxx ba sone il n''a que 20 pige il lui reste une énorme marge de progression mais vite fait niou rayy leu'	2	1							
Congratulations @XXXX 👏🏾👏🏾👏🏾👏🏾👏🏾🇨🇦🇨🇦🇨🇦🇨🇦🇨🇦 #WeTheNorth			2		2				
Je rends toujours services à des gens qui vont jamais être là pour moi si je suis dans le besoin mais est ce que ça m’a tué aussi	2								
Chacun de mes soutiens dans mon combat pour la libération du #Gabon est une partie de moi; et aujourd’hui; une part… https://t.co/DLKGSivaMx	2								
Pourquoi vous attendez toujours quelque chose en retour quand vous aidez les gens ? Ça me fait rire de toujours ent… https://t.co/cLvNJqMYqj	2								
@XXXX Kokou Dara safouko😂		2			1				
